Id;EntityCreatedAt;EntityModifiedAt;ProductionTypeText;ProductionTypeNote
1;2019-04-02 07:03:22.3145320 +00:00;2019-04-02 07:03:22.3145320 +00:00;Fossil Gas;NULL
2;2019-04-02 07:03:22.3392876 +00:00;2019-04-02 07:03:22.3392876 +00:00;Hydro Run-of-river and poundage;NULL
3;2019-04-02 07:03:22.3465188 +00:00;2019-04-02 07:03:22.3465188 +00:00;Hydro Pumped Storage;NULL
4;2019-04-02 07:03:22.3525728 +00:00;2019-04-02 07:03:22.3525728 +00:00;Hydro Water Reservoir;NULL
5;2019-04-02 07:03:22.3583165 +00:00;2019-04-02 07:03:22.3583165 +00:00;Fossil Hard coal;NULL
6;2019-04-02 07:03:22.3651741 +00:00;2019-04-02 07:03:22.3651741 +00:00;Nuclear;NULL
7;2019-04-02 07:03:22.3711690 +00:00;2019-04-02 07:03:22.3711690 +00:00;Fossil Brown coal/Lignite;NULL
8;2019-04-02 07:03:22.3771356 +00:00;2019-04-02 07:03:22.3771356 +00:00;Fossil Oil;NULL
9;2019-04-02 07:03:22.3926202 +00:00;2019-04-02 07:03:22.3926202 +00:00;Fossil Oil shale;NULL
10;2019-04-02 07:03:22.4081537 +00:00;2019-04-02 07:03:22.4081537 +00:00;Biomass;NULL
11;2019-04-02 07:03:22.4156061 +00:00;2019-04-02 07:03:22.4156061 +00:00;Fossil Peat;NULL
12;2019-04-02 07:19:22.3775837 +00:00;2019-04-02 07:19:22.3775837 +00:00;Wind Onshore;NULL
13;2019-04-02 07:19:22.4076468 +00:00;2019-04-02 07:19:22.4076468 +00:00;Other;NULL
14;2019-04-02 07:19:22.4175419 +00:00;2019-04-02 07:19:22.4175419 +00:00;Wind Offshore;NULL
15;2019-04-02 07:19:22.5202082 +00:00;2019-04-02 07:19:22.5202082 +00:00;Fossil Coal-derived gas;NULL
16;2019-04-02 08:17:48.2386878 +00:00;2019-04-02 08:17:48.2386878 +00:00;Waste;NULL
17;2019-04-02 08:37:13.7099673 +00:00;2019-04-02 08:37:13.7099673 +00:00;Solar;NULL
18;2019-04-02 08:47:17.4499384 +00:00;2019-04-02 08:47:17.4499384 +00:00;Geothermal;NULL
19;2019-04-02 11:04:31.9776908 +00:00;2019-04-02 11:04:31.9776908 +00:00;Other renewable;NULL
20;2019-04-02 11:04:31.9866096 +00:00;2019-04-02 11:04:31.9866096 +00:00;Marine;NULL
21;2019-04-16 12:57:25.3130658 +00:00;2019-04-16 12:57:25.3130658 +00:00;AC Link;NULL
22;2019-04-16 12:57:38.0545071 +00:00;2019-04-16 12:57:38.0545071 +00:00;Transformer;NULL
23;2019-04-16 13:00:07.5667565 +00:00;2019-04-16 13:00:07.5667565 +00:00;DC Link;NULL
24;2019-04-16 13:00:24.4734254 +00:00;2019-04-16 13:00:24.4734254 +00:00;Substation;NULL
